TITLE,AUTHORS,VENUE,BIBTEX,YEAR,PROJECTS_EXACT,PROJECT_CATEGORIES,NODES_EXACT,NODES_CATEGORIES,DATASOURCES,CITATIONS,CATEGORY,SUBCATEGORY
An empirical study of speed and communication in globally distributed software development,James D. Herbsleb;Audris Mockus,TSE,herbsleb2003empirical,2003,Missing,Missing,"145,90",101-1000,ITS;Survey,1127,Collaboration Behavior,Global SWE
An empirical study on identifying core developers using network analysis,Wen Zhang;Ye Yang;Qing Wang,EAST,zhang2012empirical,2012,1,1,33,11-100,ML,7,Developer Roles,Identification
An Exploratory Study on the Evolution of OSS Developer Communities,Kawin Ngamkajornwiwat;Dongsong Zhang;A. Gunes Koru;Lina Zhou;Robert Nolker,HICSS,ngamkajornwiwat2008exploratory,2008,1,1,383,101-1000,ML,32,Community Structure,DSN Evolution
Analysis of Coordination Between Developers and Users in the Apache Community,Yasutaka Kamei;Shinsuke Matsumoto;Hirotaka Maeshima;Yoji Onishi;Masao Ohira;Ken-ichi Matsumoto,OSS,kamei2008analysis,2008,1,1,678,101-1000,ML,21,Community Structure,General
Analysis of the social community based on the network growing model in open source software community,Takumi Ichimura;Takuya Uemoto,IWCIA,ichimura2015analysis,2015,NA,NA,NA,NA,Forge,5,Community Structure,General
Analysis of virtual communities supporting OSS projects using social network analysis,S. L. Toral;M. R. Martínez-Torres;F. Barrero,Information and Software Technology,toral2010analysis,2010,1,1,2086,1001-10000,ML,129,Community Structure,General
Analyzing and predicting software integration bugs using network analysis on requirements dependency network,Junjie Wang;Qing Wang,RE,wang2016analyzing,2016,3,2-5,Missing,Missing,Other,14,Prediction,Defect Prediction
Analyzing Developer Behavior and Community Structure in Software Crowdsourcing,Hui Zhang;Yuchuan Wu;Wenjun Wu,Information Science and Applications,zhang2015analyzing,2015,59,11-100,Missing,Missing,Forge,7,Community Structure,General
Analyzing the social ties and structure of contributors in Open Source Software community,Mohammad Y. Allaho;Wang-Chien Lee,ASONAM,allaho2013analyzing,2013,450000/2300000,>100,297000/1000000,>100000,Forge,20,Community Structure,General
Apache commits: Social network dataset,Alexander C. MacLean;Charles D. Knutson,MSR,maclean2013apache,2013,Missing,Missing,Missing,Missing,VCS,8,Datasets,Dataset
Applying Centrality Measures to the Behavior Analysis of Developers in Open Source Software Community,Peng He;Bing Li;Yuan Huang,CGC,he2012applying,2012,1,1,7065,1001-10000,Forge,14,Community Structure,General
Applying Social Network Analysis Techniques to Community-Driven Libre Software Projects,Luis Lopez-Fernandez;Gregorio Robles;Jesus M. Gonzales-Barahona;Israel Herraiz,International Journal of Information Technology and Web Engineering,lopez2008applying,2006,3,2-5,305,101-1000,VCS,83,Community Structure,General
Applying social network analysis to the information in CVS repositories,Luis Lopez-Fernandez;Gregorio Robles;Jesus M. Gonzales-Barahona,MSR,lopez2004applying,2004,3,2-5,Missing,Missing,VCS,207,Community Structure,General
Awareness in the Wild: Why Communication Breakdowns Occur,Daniela Damian;Luis Izquierdo;Janice Singer;Irwin Kwan,ICGSE,damian2007awareness,2007,1,1,Missing,Missing,Other,214,Collaboration Behavior,Problems
Boundary Spanners in Open Source Software Development,Pankajeshwara N. Sharma;Bastin T. R. Savarimuthu;Nigel Stanger,APSEC,sharma2017boundary,2017,1,1,40627,10001-100000,ML,1,Developer Roles,Identification
Bringing out collaboration in software development social networks,Taisa A. dos Santos;Renata M. de Araujo;Andrea M. Magdaleno,PROFES,dos2011bringing,2011,29,11-100,Missing,Missing,Forge,7,Community Structure,General
Can developer-module networks predict failures?,Martin Pinzger;Nachiappan Nagappan;Brendan Murphy,FSE,pinzger2008can,2008,1,1,Missing,Missing,VCS,243,Prediction,Defect Prediction
Categorizing bugs with social networks: A case study on four open source software communities,Marcelo S. Zanetti;Ingo Scholtes;Claudio J. Tessone;Frank Schweitzer,ICSE,zanetti2013categorizing,2013,4,2-5,244,101-1000,ITS,94,Prediction,Bug Triage
Changeset based developer communication to detect software failures,Braden Simpson,ICSE,simpson2013changeset,2013,1,1,Missing,Missing,ITS;VCS,6,Prediction,Defect Prediction
Classifying Developers into Core and Peripheral: An Empirical Study on Count and Network Metrics,Mitchell Joblin;Sven Apel;Claus Hunsen;Wolfgang Mauerer,ICSE,joblin2017classifying,2017,10,6-10,315,101-1000,VCS,45,Developer Roles,Identification
